Invoice ID,Branch,City,Customer type,Gender,Category,Unit price,Quantity,Tax 5%,Amount,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
554-42-2417,Kenloy,Jinja,Normal,Male,Sports and travel,19088,100,48,1908800,5/9/2024,13:45,Cash,954.4,4.761904762,47.72,5.2
201-63-8275,Kenloy,Jinja,Member,Male,Sports and travel,13598,50,24,10000,6/17/2024,16:50,MOMO,475.93,4.761904762,23.7965,5.7
201-63-8275,Kenloy,Jinja,Member,Female,Sports and travel,13598,225,24,3059550,2/17/2024,16:50,MOMO,475.93,4.761904762,23.7965,5.7
372-62-5264,Kenloy,Jinja,Normal,Female,Food and beverages,10520,81,24,852120,1/16/2024,14:42,Cash,473.4,4.761904762,23.67,7.6
372-62-5264,Kenloy,Jinja,Normal,Male,Food and beverages,10520,81,24,852120,5/16/2024,14:42,Cash,473.4,4.761904762,23.67,7.6
474-33-8305,Kenloy,Jinja,Member,Male,Fashion accessories,13478,225,24,3032550,3/23/2024,13:23,MOMO,471.73,4.761904762,23.5865,6.9
474-33-8305,Kenloy,Jinja,Member,Male,Fashion accessories,13478,50,24,10000,4/24/2024,13:23,MOMO,471.73,4.761904762,23.5865,6.9
325-90-8763,Kenloy,Jinja,Member,Male,Electronic accessories,9314,100,23,931400,5/27/2024,13:58,Cash,465.7,4.761904762,23.285,7.6
325-90-8763,Kenloy,Jinja,Member,Female,Electronic accessories,9314,64,23,596096,1/27/2024,13:58,Cash,465.7,4.761904762,23.285,7.6
607-76-6216,Kenloy,Jinja,Member,Male,Fashion accessories,18498,25,23,462450,4/6/2024,16:35,Credit Card,462.45,4.761904762,23.1225,8.6
607-76-6216,Kenloy,Jinja,Member,Female,Fashion accessories,18498,25,23,462450,3/2/2024,16:35,Cash,462.45,4.761904762,23.1225,8.6
122-61-9553,Kenloy,Jinja,Normal,Male,Electronic accessories,10264,81,23,831384,4/14/2024,19:33,Cash,461.88,4.761904762,23.094,5.6
122-61-9553,Kenloy,Jinja,Normal,Female,Electronic accessories,10264,81,23,831384,3/14/2024,19:33,Cash,461.88,4.761904762,23.094,5.6
102-77-2261,Kenloy,Jinja,Member,Male,Health and beauty,13062,225,23,2938950,3/5/2024,18:02,Credit Card,457.17,4.761904762,22.8585,0.21
102-77-2261,Kenloy,Jinja,Member,Male,Health and beauty,13062,50,23,10000,4/5/2024,18:02,Credit Card,457.17,4.761904762,22.8585,4.2
841-35-6630,Kenloy,Jinja,Normal,Female,Health and beauty,15182,36,23,546552,3/9/2024,18:21,Cash,455.46,4.761904762,22.773,8.7
841-35-6630,Kenloy,Jinja,Normal,Male,Electronic accessories,15182,36,23,546552,4/9/2024,18:21,Cash,455.46,4.761904762,22.773,8.7
577-34-7579,Kenloy,Jinja,Member,Male,Food and beverages,10098,81,23,817938,1/10/2024,17:16,Cash,454.41,4.761904762,22.7205,5.4
577-34-7579,Kenloy,Jinja,Member,Male,Food and beverages,10098,81,23,817938,5/10/2024,17:16,Cash,454.41,4.761904762,22.7205,5.4
280-17-4359,Kenloy,Jinja,Member,Male,Health and beauty,18100,100,45,1810000,5/25/2024,13:48,Cash,905,4.761904762,45.25,8.1
130-98-8941,Kenloy,Jinja,Normal,Male,Food and beverages,12852,225,22,2891700,2/9/2024,10:00,Cash,449.82,4.761904762,22.491,5.7
130-98-8941,Kenloy,Jinja,Normal,Male,Fashion accessories,12852,50,22,10000,6/9/2024,10:00,Cash,449.82,4.761904762,22.491,5.7
731-81-9469,Kenloy,Jinja,Member,Male,Sports and travel,17960,100,45,1796000,5/24/2024,13:00,Credit Card,898,4.761904762,44.9,5.4
702-83-5291,Kenloy,Jinja,Member,Male,Fashion accessories,19964,81,45,1617084,4/27/2024,10:43,Cash,898.38,4.761904762,44.919,
225-32-0908,Kenloy,Jinja,Normal,Female,Health and beauty,8972,64,22,574208,1/26/2024,19:54,Cash,448.6,4.761904762,22.43,8.2
225-32-0908,Kenloy,Jinja,Normal,Male,Sports and travel,8972,100,22,897200,5/26/2024,19:54,MOMO,448.6,4.761904762,22.43,8.2
458-10-8612,Kenloy,Jinja,Normal,Male,Health and beauty,12816,50,22,10000,5/20/2024,12:27,MOMO,448.56,4.761904762,22.428,7.6
458-10-8612,Kenloy,Jinja,Normal,Male,Health and beauty,12816,225,22,2883600,1/20/2024,12:27,MOMO,448.56,4.761904762,22.428,7.6
393-65-2792,Kenloy,Jinja,Normal,Male,Food and beverages,17896,100,45,1789600,5/6/2024,12:46,Credit Card,894.8,4.761904762,44.74,9.6
751-69-0068,Kenloy,Jinja,Normal,Male,Sports and travel,19848,81,45,1607688,4/19/2024,19:09,MOMO,893.16,4.761904762,44.658,9
866-99-7614,Kenloy,Jinja,Normal,Male,Food and beverages,17840,100,45,1784000,6/15/2024,15:42,Credit Card,892,4.761904762,44.6,
277-35-5865,Kenloy,Jinja,Member,Male,Food and beverages,19794,81,45,1603314,4/9/2024,11:23,Cash,890.73,4.761904762,44.5365,6.7
263-10-3913,Kenloy,Jinja,Member,Male,Health and beauty,9808,81,22,794448,1/9/2024,14:20,Cash,441.36,4.761904762,22.068,8.6
263-10-3913,Kenloy,Jinja,Member,Male,Fashion accessories,9808,81,22,794448,5/9/2024,14:20,Credit Card,441.36,4.761904762,22.068,8.6
840-19-2096,Kenloy,Jinja,Member,Male,Electronic accessories,17582,25,22,439550,4/14/2024,18:10,MOMO,439.55,4.761904762,21.9775,
840-19-2096,Kenloy,Jinja,Member,Male,Health and beauty,17582,25,22,439550,3/14/2024,18:10,MOMO,439.55,4.761904762,21.9775,0.22
333-73-7901,Kenloy,Jinja,Normal,Female,Health and beauty,10984,64,22,702976,3/23/2024,13:24,MOMO,439.36,4.761904762,21.968,7.6
333-73-7901,Kenloy,Jinja,Normal,Male,Health and beauty,10984,64,22,702976,4/24/2024,13:24,MOMO,439.36,4.761904762,21.968,7.6
641-51-2661,Kenloy,Jinja,Member,Male,Food and beverages,17420,100,44,1742000,6/16/2024,14:45,Credit Card,871,4.761904762,43.55,9.9
401-09-4232,Kenloy,Jinja,Member,Male,Home and lifestyle,17338,25,22,433450,2/11/2024,18:38,MOMO,433.45,4.761904762,21.6725,9.4
401-09-4232,Kenloy,Jinja,Member,Male,Home and lifestyle,17338,25,22,,6/15/2024,18:38,MOMO,433.45,4.761904762,21.6725,9.4
300-71-4605,Kenloy,Jinja,Member,Male,Electronic accessories,17208,25,22,430200,6/25/2024,11:24,MOMO,430.2,4.761904762,21.51,4.8
300-71-4605,Kenloy,Jinja,Member,Male,Electronic accessories,17208,25,22,430200,2/25/2024,11:24,MOMO,430.2,4.761904762,21.51,0.24
426-39-2418,Kenloy,Jinja,Normal,Male,Food and beverages,12282,225,21,2763450,1/14/2024,10:02,Cash,429.87,4.761904762,21.4935,9.8
426-39-2418,Kenloy,Jinja,Normal,Male,Electronic accessories,12282,50,21,10000,5/14/2024,10:02,Cash,429.87,4.761904762,21.4935,9.8
781-84-8059,Kenloy,Jinja,Normal,Male,Fashion accessories,12148,225,21,2733300,1/18/2024,16:23,Cash,425.18,4.761904762,21.259,5
781-84-8059,Kenloy,Jinja,Normal,Male,Fashion accessories,12148,50,21,10000,5/18/2024,16:23,MOMO,425.18,4.761904762,21.259,5
450-42-3339,Kenloy,Jinja,Normal,Male,Health and beauty,16922,100,42,1692200,6/9/2024,18:58,Credit Card,846.1,4.761904762,42.305,8.8
778-89-7974,Kenloy,Jinja,Normal,Male,Health and beauty,14042,36,21,505512,3/30/2024,14:58,MOMO,421.26,4.761904762,21.063,7.4
730-70-9830,Kenloy,Jinja,Normal,Male,Home and lifestyle,14022,36,21,504792,4/14/2024,17:54,MOMO,420.66,4.761904762,21.033,5.2
778-89-7974,Kenloy,Jinja,Normal,Male,Health and beauty,14042,36,21,505512,4/30/2024,14:58,Cash,421.26,4.761904762,21.063,7.4
730-70-9830,Kenloy,Jinja,Normal,Female,Home and lifestyle,14022,36,21,504792,3/14/2024,17:54,Cash,420.66,4.761904762,21.033,5.2
123-35-4896,Kenloy,Jinja,Normal,Male,Sports and travel,9332,81,21,755892,6/17/2024,19:11,MOMO,419.94,4.761904762,20.997,5.3
123-35-4896,Kenloy,Jinja,Normal,Female,Health and beauty,9332,81,21,755892,2/17/2024,19:11,Cash,419.94,4.761904762,20.997,5.3
677-11-0152,Kenloy,Jinja,Normal,Male,Food and beverages,18652,81,42,1510812,5/16/2024,18:08,Cash,839.34,4.761904762,41.967,8.8
389-70-2397,Kenloy,Jinja,Normal,Female,Health and beauty,16732,25,21,418300,2/21/2024,10:26,Cash,418.3,4.761904762,20.915,7.2
389-70-2397,Kenloy,Jinja,Normal,Male,Health and beauty,16732,,21,418300,6/25/2024,10:26,Cash,418.3,4.761904762,20.915,7.2
732-94-0499,Kenloy,Jinja,Normal,Female,Health and beauty,8330,64,21,533120,1/13/2024,17:04,Cash,416.5,4.761904762,20.825,5.4
732-94-0499,Kenloy,Jinja,Normal,Male,Electronic accessories,8330,100,21,833000,5/14/2024,17:04,Credit Card,416.5,4.761904762,20.825,5.4
574-22-5561,Kenloy,Jinja,Member,Male,Fashion accessories,16526,100,41,1652600,4/19/2024,17:08,MOMO,826.3,4.761904762,41.315,7.9
267-62-7380,Kenloy,Jinja,Member,Male,Electronic accessories,16468,100,41,1646800,4/29/2024,19:12,MOMO,823.4,4.761904762,41.17,4.3
861-77-0145,Kenloy,Jinja,Member,Male,Electronic accessories,16394,100,41,1639400,4/4/2024,14:30,Cash,819.7,4.761904762,40.985,9.2
607-65-2441,Kenloy,Jinja,Member,Male,Health and beauty,16390,100,41,1639000,4/10/2024,12:39,Credit Card,819.5,4.761904762,40.975,6
503-07-0930,Kenloy,Jinja,Member,Male,Health and beauty,11678,225,20,2627550,2/23/2024,19:49,Cash,408.73,4.761904762,20.4365,8.2
503-07-0930,Kenloy,Jinja,Member,Male,Sports and travel,11678,50,20,10000,6/24/2024,19:49,Credit Card,408.73,4.761904762,20.4365,8.2
678-79-0726,Kenloy,Jinja,Member,Male,Sports and travel,18126,81,41,1468206,5/18/2024,15:28,Cash,815.67,4.761904762,40.7835,5.1
377-79-7592,Kenloy,Jinja,Member,Male,Electronic accessories,8968,81,20,726408,5/14/2024,14:00,Credit Card,403.56,4.761904762,20.178,7.5
377-79-7592,Kenloy,Jinja,Member,Female,Electronic accessories,8968,81,20,726408,1/14/2024,14:00,Credit Card,403.56,4.761904762,20.178,7.5
659-36-1684,Kenloy,Jinja,Member,Male,Sports and travel,11424,50,20,10000,5/16/2024,12:02,Credit Card,399.84,4.761904762,19.992,6.5
659-36-1684,Kenloy,Jinja,Member,Male,Sports and travel,11424,225,20,2570400,1/12/2024,12:02,Cash,399.84,4.761904762,19.992,6.5
183-56-6882,Kenloy,Jinja,Member,Male,Food and beverages,19884,16,20,318144,6/6/2024,10:42,MOMO,397.68,4.761904762,19.884,7.5
183-56-6882,Kenloy,Jinja,Member,Female,Health and beauty,19884,16,20,318144,2/6/2024,10:42,MOMO,397.68,4.761904762,19.884,7.5
286-43-6208,Kenloy,Jinja,Normal,Male,Food and beverages,17560,81,40,1422360,4/16/2024,19:08,Cash,790.2,4.761904762,39.51,9.2
228-96-1411,Kenloy,Jinja,Member,Male,Food and beverages,19740,64,39,1263360,4/4/2024,20:39,Cash,789.6,4.761904762,39.48,7.6
735-32-9839,Kenloy,Jinja,Member,Male,Fashion accessories,19740,64,39,1263360,5/30/2024,10:36,MOMO,789.6,4.761904762,39.48,8.5
829-49-1914,Kenloy,Jinja,Member,Male,Food and beverages,15662,100,39,1566200,4/5/2024,16:24,MOMO,783.1,4.761904762,39.155,
227-07-4446,Kenloy,Jinja,Member,Male,Electronic accessories,15626,100,39,1562600,6/10/2024,20:51,Cash,781.3,4.761904762,39.065,
733-29-1227,Kenloy,Jinja,Normal,Male,Home and lifestyle,11122,50,19,10000,4/24/2024,12:41,Cash,389.27,4.761904762,19.4635,8.5
733-29-1227,Kenloy,Jinja,Normal,Male,Home and lifestyle,11122,225,19,2502450,3/23/2024,12:41,Cash,389.27,4.761904762,19.4635,8.5
210-74-9613,Kenloy,Jinja,Normal,Male,Fashion accessories,19452,16,19,311232,3/16/2024,15:33,MOMO,389.04,4.761904762,19.452,6.8
210-74-9613,Kenloy,Jinja,Normal,Male,Fashion accessories,19452,16,19,311232,4/16/2024,15:33,MOMO,389.04,4.761904762,19.452,6.8
595-86-2894,Kenloy,Jinja,Member,Male,Fashion accessories,19396,16,19,310336,2/6/2024,17:20,Cash,387.92,4.761904762,19.396,9.4
595-86-2894,Kenloy,Jinja,Member,Male,Fashion accessories,19396,16,19,310336,6/6/2024,17:20,MOMO,387.92,4.761904762,19.396,9.4
373-09-4567,Kenloy,Jinja,Normal,Male,Food and beverages,15512,100,39,1551200,4/14/2024,20:35,MOMO,775.6,4.761904762,38.78,6.9
266-20-6657,Kenloy,Jinja,Member,Male,Food and beverages,11008,50,19,10000,4/16/2024,19:39,MOMO,385.28,4.761904762,19.264,5.2
266-20-6657,Kenloy,Jinja,Member,Male,Food and beverages,11008,225,19,2476800,3/12/2024,19:39,MOMO,385.28,4.761904762,19.264,5.2
362-58-8315,Kenloy,Jinja,Normal,Male,Health and beauty,15304,25,19,382600,3/25/2024,10:23,Cash,382.6,4.761904762,19.13,9.9
376-56-3573,Kenloy,Jinja,Normal,Male,Fashion accessories,19084,16,19,305344,6/6/2024,13:23,MOMO,381.68,4.761904762,19.084,6.4
376-56-3573,Kenloy,Jinja,Normal,Female,Food and beverages,19084,16,19,305344,2/2/2024,13:23,Cash,381.68,4.761904762,19.084,6.4
605-72-4132,Kenloy,Jinja,Normal,Male,Food and beverages,18894,64,38,1209216,6/27/2024,15:12,Cash,755.76,4.761904762,37.788,9.1
719-76-3868,Kenloy,Jinja,Member,Male,Food and beverages,18852,16,19,301632,4/16/2024,16:30,Cash,377.04,4.761904762,18.852,8.6
719-76-3868,Kenloy,Jinja,Member,Male,Food and beverages,18852,16,19,301632,3/12/2024,16:30,Cash,377.04,4.761904762,18.852,8.6
632-90-0281,Kenloy,Jinja,Normal,Female,Fashion accessories,7510,64,19,480640,3/8/2024,20:01,Cash,375.5,4.761904762,18.775,
632-90-0281,Kenloy,Jinja,Normal,Male,Fashion accessories,7510,100,19,751000,4/8/2024,20:01,Credit Card,375.5,4.761904762,18.775,
603-07-0961,Kenloy,Jinja,Member,Male,Electronic accessories,14958,25,19,373950,5/10/2024,11:34,Cash,373.95,4.761904762,18.6975,4.9
603-07-0961,Kenloy,Jinja,Member,Male,Electronic accessories,14958,25,19,373950,1/10/2024,11:34,Cash,373.95,4.761904762,18.6975,0.245
658-66-3967,Kenloy,Jinja,Normal,Male,Health and beauty,10638,50,19,10000,5/14/2024,15:42,MOMO,372.33,4.761904762,18.6165,5
658-66-3967,Kenloy,Jinja,Normal,Male,Health and beauty,10638,225,19,2393550,1/14/2024,15:42,MOMO,372.33,4.761904762,18.6165,5
493-65-6248,Kenloy,Jinja,Member,Female,Health and beauty,7396,64,18,473344,1/1/2024,19:48,Cash,369.8,4.761904762,18.49,7
493-65-6248,Kenloy,Jinja,Member,Male,Sports and travel,7396,100,18,739600,5/5/2024,19:48,Credit Card,369.8,4.761904762,18.49,7
315-22-5665,Kenloy,Jinja,Normal,Male,Home and lifestyle,14712,100,37,1471200,6/24/2024,11:38,MOMO,735.6,4.761904762,36.78,8
237-01-6122,Kenloy,Jinja,Member,Male,Home and lifestyle,16158,81,36,1308798,6/5/2024,20:31,Credit Card,727.11,4.761904762,36.3555,9.5
484-22-8230,Kenloy,Jinja,Member,Female,Health and beauty,10378,225,18,2335050,1/8/2024,20:08,Cash,363.23,4.761904762,18.1615,0.225
484-22-8230,Kenloy,Jinja,Member,Male,Fashion accessories,10378,50,18,10000,5/8/2024,20:08,Cash,363.23,4.761904762,18.1615,4.5
600-38-9738,Kenloy,Jinja,Member,Male,Sports and travel,14384,25,18,359600,5/17/2024,15:05,Credit Card,359.6,4.761904762,17.98,4.3
600-38-9738,Kenloy,Jinja,Member,Male,Health and beauty,14384,25,18,359600,1/17/2024,15:05,Cash,359.6,4.761904762,17.98,0.215
420-11-4919,Kenloy,Jinja,Member,Male,Food and beverages,14278,25,18,356950,6/17/2024,19:57,Credit Card,356.95,4.761904762,17.8475,5.5
725-96-3778,Kenloy,Jinja,Member,Male,Home and lifestyle,17850,64,36,1142400,5/20/2024,10:13,Cash,714,4.761904762,35.7,4.7
420-11-4919,Kenloy,Jinja,Member,Female,Food and beverages,14278,25,18,356950,2/17/2024,19:57,Cash,356.95,4.761904762,17.8475,5.5
537-72-0426,Kenloy,Jinja,Member,Male,Fashion accessories,14198,100,35,1419800,4/20/2024,16:28,Cash,709.9,4.761904762,35.495,5.7
155-45-3814,Kenloy,Jinja,Member,Male,Electronic accessories,17710,64,35,1133440,4/19/2024,15:29,MOMO,708.4,4.761904762,35.42,4.7
189-98-2939,Kenloy,Jinja,Normal,Male,Fashion accessories,15710,81,35,1272510,4/5/2024,13:22,Cash,706.95,4.761904762,35.3475,7.2
468-99-7231,Kenloy,Jinja,Normal,Male,Home and lifestyle,8802,64,18,563328,4/4/2024,17:36,Cash,352.08,4.761904762,17.604,8.8
468-99-7231,Kenloy,Jinja,Normal,Female,Home and lifestyle,8802,64,18,563328,3/3/2024,17:36,Cash,352.08,4.761904762,17.604,8.8
662-47-5456,Kenloy,Jinja,Member,Male,Food and beverages,7038,64,18,450432,3/17/2024,19:06,Cash,351.9,4.761904762,17.595,8.4
662-47-5456,Kenloy,Jinja,Member,Male,Fashion accessories,7038,100,18,703800,4/17/2024,19:06,Credit Card,351.9,4.761904762,17.595,8.4
148-41-7930,Kenloy,Jinja,Normal,Male,Health and beauty,19992,50,35,10000,5/24/2024,10:33,Cash,699.72,4.761904762,34.986,6.1
183-21-3799,Kenloy,Jinja,Normal,Male,Electronic accessories,15526,81,35,1257606,6/19/2024,15:14,MOMO,698.67,4.761904762,34.9335,7.2
894-41-5205,Kenloy,Jinja,Normal,Male,Food and beverages,8636,64,17,552704,5/19/2024,19:39,Credit Card,345.44,4.761904762,17.272,8.3
894-41-5205,Kenloy,Jinja,Normal,Female,Food and beverages,8636,64,17,552704,1/19/2024,19:39,Cash,345.44,4.761904762,17.272,8.3
399-46-5918,Kenloy,Jinja,Normal,Male,Electronic accessories,17196,64,34,1100544,6/28/2024,19:01,Cash,687.84,4.761904762,34.392,8.2
500-02-2261,Kenloy,Jinja,Normal,Male,Food and beverages,11458,36,17,412488,4/25/2024,17:04,MOMO,343.74,4.761904762,17.187,5.9
500-02-2261,Kenloy,Jinja,Normal,Female,Food and beverages,11458,36,17,412488,3/21/2024,17:04,MOMO,343.74,4.761904762,17.187,5.9
